-43.796	2791.508	-18.275
-18.048	2827.627	-16.778
7.517	2868.013	-18.082
-25.233	2804.236	-18.071
-44.724	2835.996	-16.437
42.466	2815.190	-19.701
-9.646	2769.310	-15.201
26.181	2784.166	-16.149
26.430	2829.682	-18.321
44.254	2891.417	-17.918
-20.482	2825.219	-18.979
71.964	2785.244	-23.677
30.649	2802.249	-18.172
30.245	2785.731	-17.337
-9.059	2821.944	-18.583
-24.866	2841.647	-17.614
0.308	2779.565	-17.928
-15.008	2828.140	-18.220
-20.331	2796.805	-17.309
-60.359	2899.795	-16.957
-53.792	2822.231	-17.286
-70.972	2919.286	-16.544
-54.576	2814.587	-15.701
-19.090	2867.740	-18.084
-10.221	2836.873	-17.630
100.344	2770.587	-21.881
-75.078	2885.123	-18.152
46.146	2843.854	-18.851
9.229	2824.205	-17.589
96.712	2768.451	-20.559
-63.136	2883.102	-16.002
-63.641	2779.410	-18.169
